frame_name;actor;gender;p1;p2;p3;p4
FrancesHa-80556.jpeg;Greta_Gerwig;F;55;295;98;252
FrancesHa-8179.jpeg;Greta_Gerwig;F;59;418;122;356
FrancesHa-83253.jpeg;Greta_Gerwig;F;67;397;196;268
FrancesHa-84635.jpeg;Greta_Gerwig;F;67;411;196;282
FrancesHa-88992.jpeg;Greta_Gerwig;F;66;255;156;165
FrancesHa-89965.jpeg;Greta_Gerwig;F;56;275;146;185
FrancesHa-90131.jpeg;Greta_Gerwig;F;56;265;146;175
FrancesHa-90367.jpeg;Greta_Gerwig;F;56;255;146;165
FrancesHa-94067.jpeg;Greta_Gerwig;F;96;395;171;320
FrancesHa-94108.jpeg;Greta_Gerwig;F;96;386;171;312
FrancesHa-96914.jpeg;Greta_Gerwig;F;82;411;211;282
FrancesHa-98469.jpeg;Greta_Gerwig;F;80;426;187;318
FrancesHa-99851.jpeg;Greta_Gerwig;F;56;497;163;390
GoodFortune-118073.jpeg;Keanu_Reeves;M;81;528;236;373
GoodFortune-121018.jpeg;Aziz_Ansari;M;57;386;242;201
GoodFortune-15280.jpeg;Keanu_Reeves;M;81;425;236;270
GoodFortune-18064.jpeg;Aziz_Ansari;M;68;294;175;187
GoodFortune-19907.jpeg;Aziz_Ansari;M;76;305;166;215
GoodFortune-20098.jpeg;Aziz_Ansari;M;76;295;166;205
GoodFortune-33106.jpeg;Aziz_Ansari;M;68;464;291;241
GoodFortune-34260.jpeg;Aziz_Ansari;M;23;468;290;200
GoodFortune-41730.jpeg;Keanu_Reeves;M;56;255;146;165
GoodFortune-42172.jpeg;Keanu_Reeves;M;56;275;146;185
GoodFortune-4561.jpeg;Aditya_Geddada;M;32;462;140;354
GoodFortune-51055.jpeg;Aziz_Ansari;M;56;384;146;295
GoodFortune-51277.jpeg;Aziz_Ansari;M;36;374;126;285
GoodFortune-55921.jpeg;Aziz_Ansari;M;68;354;175;247
