frame_name;position;guessed_gender;;;
50_50 (2011)-129307.jpeg;[382.2964  151.50061 393.33414 165.55995];M;;;
50_50 (2011)-129307.jpeg;[591.1303  130.1649  604.2247  150.67545];F;;;
50_50 (2011)-129613.jpeg;[ 76.55958  41.88143 231.26743 248.65314];M;;;
50_50 (2011)-129613.jpeg;[480.88922 105.10561 626.3948  300.6534 ];M;;;
50_50 (2011)-129729.jpeg;[341.83185  69.4474  448.70886 253.01132];M;;;
50_50 (2011)-12976.jpeg;[193.70796   51.912716 269.88693  155.03865 ];M;;;
50_50 (2011)-129886.jpeg;[323.81915  73.78043 441.02374 231.95398];M;;;
50_50 (2011)-129939.jpeg;[182.67668  61.91062 321.0328  252.89612];F;;;
50_50 (2011)-129939.jpeg;[487.65045  68.57903 593.39185 291.83884];M;;;
50_50 (2011)-130030.jpeg;[416.42053   53.049355 574.3621   269.97794 ];M;;;
50_50 (2011)-130030.jpeg;[112.52167 247.79756 193.21089 350.72382];F;;;
50_50 (2011)-130191.jpeg;[239.25482  92.19602 390.12958 292.2529 ];F;;;
50_50 (2011)-130380.jpeg;[241.811   128.47722 267.36005 149.75276];M;;;
50_50 (2011)-130570.jpeg;[291.36816   48.457542 479.25586  287.45343 ];M;;;
50_50 (2011)-130721.jpeg;[436.63647   22.045105 520.4701   142.1569  ];M;;;
50_50 (2011)-130721.jpeg;[153.75677 115.53265 267.05243 260.48468];F;;;
50_50 (2011)-130824.jpeg;[284.55164  51.89132 406.007   202.54243];M;;;
50_50 (2011)-130916.jpeg;[255.48499  49.28444 373.73865 202.32144];M;;;
50_50 (2011)-13096.jpeg;[405.21008  65.77379 467.34137 156.96286];M;;;
50_50 (2011)-130984.jpeg;[176.40518   50.57477  199.10872   88.675835];M;;;
50_50 (2011)-130984.jpeg;[374.26016   63.180435 399.57996  105.723495];M;;;
50_50 (2011)-130984.jpeg;[244.05844 140.20157 270.20343 161.04254];M;;;
50_50 (2011)-130984.jpeg;[284.41687  105.763596 305.8243   133.37997 ];M;;;
50_50 (2011)-131210.jpeg;[433.8803    21.589966 518.4213   141.84714 ];M;;;
50_50 (2011)-131210.jpeg;[145.00616  99.74899 264.98846 247.83394];F;;;
50_50 (2011)-131210.jpeg;[ 28.289406 213.75256  172.09367  355.3346  ];F;;;
50_50 (2011)-131248.jpeg;[210.43303  53.54941 302.54288 184.5982 ];M;;;
50_50 (2011)-13126.jpeg;[119.06427   60.223694 287.67908  300.13382 ];M;;;
50_50 (2011)-131539.jpeg;[203.04787   51.084694 276.09158  150.73764 ];F;;;
50_50 (2011)-131701.jpeg;[180.55263  49.61874 252.06102 148.63503];F;;;
50_50 (2011)-131983.jpeg;[151.53188   61.878975 283.45273  245.17892 ];F;;;
50_50 (2011)-13200.jpeg;[300.00488  68.02331 439.7921  272.50098];M;;;
50_50 (2011)-132020.jpeg;[353.35562   53.650787 506.11652  203.29776 ];M;;;
50_50 (2011)-132175.jpeg;[353.73322   52.123566 506.3141   202.71985 ];M;;;
50_50 (2011)-13228.jpeg;[147.78116   32.079903 235.4196   154.588   ];M;;;
50_50 (2011)-132299.jpeg;[202.58966   56.642204 329.1283   236.70146 ];F;;;
50_50 (2011)-132374.jpeg;[359.64758   48.946564 502.7026   197.2294  ];M;;;
50_50 (2011)-132469.jpeg;[351.75723  50.43577 499.42728 202.19565];M;;;
50_50 (2011)-132533.jpeg;[201.7604   67.40823 335.1466  253.99689];F;;;
50_50 (2011)-132595.jpeg;[344.50427   49.606117 493.56424  190.93161 ];M;;;
50_50 (2011)-132739.jpeg;[385.15747 190.12149 425.55847 227.63408];M;;;
50_50 (2011)-132928.jpeg;[213.96677  77.40746 378.68567 281.33917];F;;;
50_50 (2011)-133226.jpeg;[196.06444  74.67678 345.64978 279.21112];F;;;
50_50 (2011)-133322.jpeg;[386.2482  178.86267 429.30093 222.98837];M;;;
50_50 (2011)-133688.jpeg;[282.4578    46.178047 448.95325  266.2543  ];M;;;
50_50 (2011)-133859.jpeg;[275.36115   20.460007 462.4894   281.53903 ];M;;;
50_50 (2011)-133885.jpeg;[406.73465  64.17806 463.71103 138.9315 ];M;;;
50_50 (2011)-133885.jpeg;[156.57944  73.66192 239.7287  191.44333];M;;;
50_50 (2011)-13402.jpeg;[295.33472  66.96953 439.15338 257.7077 ];M;;;
50_50 (2011)-134086.jpeg;[277.55353   81.229126 450.3141   293.20667 ];M;;;
50_50 (2011)-134287.jpeg;[315.32285  57.45604 484.5291  278.96   ];M;;;
50_50 (2011)-134625.jpeg;[259.5072    71.222855 430.7959   272.02182 ];M;;;
